CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SBPV,RO0001,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,8° 42' 49'' S,63° 54' 10'' W,88 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,2400 m,45 m,PCN 41/F/B/X/T,Asfalto
SBRB,AC0001,PLÁCIDO DE CASTRO,RIO BRANCO,AC,9° 52' 6'' S,67° 53' 53'' W,193 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,2158 m,45 m,PCN 78/F/D/X/T,Asfalto
SBRD,MT0004,RONDONÓPOLIS - MAESTRO MARINHO FRANCO (*SWRD),RONDONÓPOLIS,MT,16° 35' 17'' S,54° 43' 18'' W,447 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,1850 m,30 m,PCN 28/F/B/X/U,Asfalto
SBRF,PE0001,GUARARAPES - GILBERTO FREYRE,RECIFE,PE,8° 7' 35'' S,34° 55' 22'' W,10 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,3007 m,45 m,PCN 63/F/B/X/T,Asfalto
SBRJ,RJ0002,SANTOS DUMONT,RIO DE JANEIRO,RJ,22° 54' 36'' S,43° 9' 45'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2R/20L,1323 m,42 m,PCN 65/F/B/X/T,Asfalto
SBRP,SP0004,LEITE LOPES,RIBEIRÃO PRETO,SP,21° 8' 11'' S,47° 46' 36'' W,550 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,2100 m,45 m,PCN 26/F/B/X/T,Asfalto
SBSG,RN0001,GOVERNADOR ALUIZIO ALVES,SÃO GONÇALO DO AMARANTE,RN,5° 46' 8'' S,35° 21' 59'' W,83 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,3000 m,60 m,PCN 70/F/A/X/T,Asfalto
SBSJ,SP0008,PROFESSOR URBANO ERNESTO STUMPF,SÃO JOSÉ DOS CAMPOS,SP,23° 13' 44'' S,45° 52' 16'' W,647 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2676 m,45 m,PCN 71/F/A/X/T,Asfalto
SBSL,MA0001,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,2° 35' 13'' S,44° 14' 10'' W,54 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,2385 m,45 m,PCN 52/F/B/X/T,Asfalto
SBSM,RS0003,SANTA MARIA,SANTA MARIA,RS,29° 42' 39'' S,53° 41' 32'' W,88 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2700 m,45 m,PCN 20/R/B/X/T,Concreto
SBSN,PA0002,MAESTRO WILSON FONSECA,SANTARÉM,PA,2° 25' 29'' S,54° 47' 9'' W,60 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2400 m,45 m,PCN 48/F/A/W/T,Asfalto
SBSP,SP0001,CONGONHAS,SÃO PAULO,SP,23° 37' 34'' S,46° 39' 23'' W,802 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17R/35L,1940 m,45 m,PCN 50/F/B/X/T,Asfalto
SBSR,SP0006,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,20° 48' 58'' S,49° 24' 17'' W,544 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,1640 m,35 m,PCN 35/F/B/X/T,Asfalto
SBSV,BA0001,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,12° 54' 31'' S,38° 19' 21'' W,20 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,3003 m,45 m,PCN 73/F/A/W/T,Asfalto
SBTB,PA0012,TROMBETAS,TROMBETAS,PA,1° 29' 4'' S,56° 23' 57'' W,87 m,VFR Diurno/Noturno e IFR Diurno/Noturno,09/27,1600 m,30 m,PCN 26/F/A/X/T,Asfalto
SBTD,PR0008,LUIZ DALCANALE FILHO,TOLEDO,PR,24° 41' 7'' S,53° 41' 47'' W,562 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,1670 m,30 m,PCN 33/F/C/X/U,Asfalto
SBTE,PI0001,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,5° 3' 38'' S,42° 49' 28'' W,67 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,2200 m,45 m,PCN 46/F/A/X/T,Asfalto
SBTF,AM0004,TEFÉ,TEFÉ,AM,3° 22' 49'' S,64° 43' 31'' W,57 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2200 m,45 m,PCN 29/F/C/X/U,Asfalto
SBTG,MS0006,TRÊS LAGOAS,TRÊS LAGOAS,MS,20° 45' 5'' S,51° 40' 49'' W,323 m,VFR Diurno/Noturno,07/25,2000 m,30 m,PCN 33/F/B/X/T,Asfalto
SBTK,AC0004,TARAUACÁ,TARAUACÁ,AC,8° 9' 17'' S,70° 46' 58'' W,197 m,VFR Diurno,14/32,1130 m,14 m,"5700 kg / 0,5 MPa",Asfalto
SSTE,RS0011,TORRES,TORRES,RS,29° 24' 36'' S,49° 48' 37'' W,8 m,VFR Diurno/Noturno e IFR Diurno/Noturno,05/23,1500 m,30 m,PCN 32/F/B/X/T,Asfalto
SBTT,AM0005,TABATINGA,TABATINGA,AM,4° 15' 2'' S,69° 56' 16'' W,85 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2150 m,45 m,PCN 33/F/D/X/U,Asfalto
SBTU,PA0007,TUCURUÍ,TUCURUÍ,PA,3° 46' 37'' S,49° 43' 11'' W,253 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,2000 m,45 m,PCN 33/F/C/X/U,Asfalto
SBUA,AM0003,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,0° 8' 53'' S,66° 59' 9'' W,76 m,VFR Diurno e IFR Diurno,05/23,2600 m,45 m,PCN 47/F/C/X/U,Asfalto
SBUF,BA0007,PAULO AFONSO,PAULO AFONSO,BA,9° 24' 4'' S,38° 15' 4'' W,269 m,VFR Diurno/Noturno,14/32,1800 m,45 m,PCN 35/F/C/X/U,Asfalto
SBUG,RS0012,RUBEM BERTA,URUGUAIANA,RS,29° 47' 0'' S,57° 2' 13'' W,78 m,VFR Diurno/Noturno e IFR Diurno/Noturno,09/27,1500 m,30 m,PCN 18/F/C/Y/T,Asfalto
SBUL,MG0002,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,18° 53' 1'' S,48° 13' 31'' W,943 m,VFR Diurno/Noturno e IFR Diurno/Noturno,04/22,2100 m,45 m,PCN 43/F/A/X/T,Asfalto
SBUR,MG0009,MARIO DE ALMEIDA FRANCO,UBERABA,MG,19° 45' 53'' S,47° 57' 58'' W,809 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1759 m,45 m,PCN 32/F/A/X/T,Asfalto
SBVG,MG0019,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,21° 35' 20'' S,45° 28' 24'' W,922 m,VFR Diurno e IFR Diurno/Noturno,04/22,2100 m,30 m,PCN 26/F/A/Y/T,Asfalto
SBVH,RO0003,VILHENA,VILHENA,RO,12° 41' 39'' S,60° 5' 50'' W,615 m,VFR Diurno/Noturno e IFR Diurno/Noturno,03/21,2600 m,30 m,PCN 30/F/A/X/T,Asfalto
SBVT,ES0001,EURICO DE AGUIAR SALLES,VITÓRIA,ES,20° 15' 29'' S,40° 17' 11'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,1750 m,45 m,PCN 45/F/B/X/T,Asfalto
SBZM,MG0006,PRESIDENTE ITAMAR FRANCO,GOIANÁ,MG,21° 30' 47'' S,43° 10' 23'' W,412 m,VFR Diurno e IFR Diurno/Noturno,08/26,2525 m,45 m,PCN 66/F/B/X/T,Asfalto
SDAA,SP0045,ARARAS,ARARAS,SP,22° 20' 13'' S,47° 21' 30'' W,685 m,VFR Diurno,12/30,1150 m,30 m,PCN 6/F/C/Y/U,Asfalto
SDAD,SP0046,EVERALDO MORAES BARRETO,ADAMANTINA,SP,21° 41' 46'' S,51° 5' 47'' W,425 m,VFR Diurno,09/27,1240 m,18 m,"5000 kg / 0,5 MPa",Asfalto
SDAE,SP0053,SÃO PEDRO,SÃO PEDRO,SP,22° 35' 1'' S,47° 53' 46'' W,566 m,VFR Diurno,14/32,1000 m,25 m,"5600 kg / 0,5 MPa",Terra
SDAG,RJ0010,ANGRA DOS REIS,ANGRA DOS REIS,RJ,22° 58' 31'' S,44° 18' 26'' W,3 m,VFR Diurno,10/28,913 m,30 m,PCN 14/F/B/Y/T,Asfalto
SDAI,SP0047,AMERICANA,AMERICANA,SP,22° 45' 19'' S,47° 16' 5'' W,611 m,VFR Diurno/Noturno,12/30,1100 m,18 m,PCN 9/F/B/X/T,Asfalto
SDAM,SP0037,ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL,CAMPINAS,SP,22° 51' 33'' S,47° 6' 29'' W,612 m,VFR Diurno/Noturno,16/34,1200 m,30 m,PCN 25/F/A/X/T,Asfalto
SDBA,SP0063,BATATAIS,BATATAIS,SP,20° 52' 37'' S,47° 35' 9'' W,881 m,VFR Diurno,13/31,720 m,30 m,"5700 kg / 0,5 MPa",Terra
SDBB,SP0018,BEBEDOURO,BEBEDOURO,SP,20° 54' 1'' S,48° 28' 25'' W,592 m,VFR Diurno,13/31,1500 m,23 m,PCN 15/F/A/X/T,Asfalto
SDBK,SP0019,TANCREDO DE ALMEIDA NEVES,BOTUCATU,SP,22° 56' 12'' S,48° 28' 3'' W,918 m,VFR Diurno/Noturno,01/19,1500 m,30 m,PCN 40/F/A/X/T,Asfalto
SDBY,SP0032,BARIRI,BARIRI,SP,22° 4' 9'' S,48° 42' 23'' W,486 m,VFR Diurno,11/29,1400 m,30 m,"5600 kg / 0,5 MPa",Terra
SDCA,SP0051,CAPÃO BONITO,CAPÃO BONITO,SP,24° 2' 1'' S,48° 21' 25'' W,714 m,VFR Diurno,16/34,1075 m,20 m,PCN 10/F/C/Y/U,Asfalto
SDCG,AM0016,SENADORA EUNICE MICHILES,SÃO PAULO DE OLIVENÇA,AM,3° 28' 14'' S,68° 55' 27'' W,102 m,VFR Diurno,04/22,1200 m,23 m,PCN 6/R/B/Y/T,Concreto
SDCO,SP0027,SOROCABA,SOROCABA,SP,23° 28' 59'' S,47° 29' 11'' W,633 m,VFR Diurno/Noturno,18/36,1480 m,30 m,PCN 36/F/B/X/T,Asfalto
SDDN,SP0020,PAULINO RIBEIRO DE ANDRADE,ANDRADINA,SP,20° 55' 33'' S,51° 23' 2'' W,380 m,VFR Diurno/Noturno,11/29,1500 m,30 m,PCN 12/F/B/Y/T,Asfalto
SDDR,SP0021,DRACENA,DRACENA,SP,21° 27' 38'' S,51° 36' 25'' W,372 m,VFR Diurno/Noturno,09/27,1500 m,30 m,PCN 14/F/A/X/T,Asfalto
SDEP,SP0052,GERALDO MOACIR BORDON,PRESIDENTE EPITÁCIO,SP,21° 46' 32'' S,52° 9' 47'' W,297 m,VFR Diurno,05/23,1010 m,18 m,PCN 8/F/C/Y/U,Asfalto
SDET,SP0067,TIETÊ,TIETÊ,SP,23° 6' 17'' S,47° 43' 28'' W,501 m,VFR Diurno,01/19,850 m,30 m,"5000 kg / 0,5 MPa",Terra
SDFD,SP0054,CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,FERNANDÓPOLIS,SP,20° 16' 36'' S,50° 12' 50'' W,500 m,VFR Diurno,08/26,1000 m,25 m,PCN 16/F/A/X/T,Asfalto
SDFX,BA0054,CASA NOVA,CASA NOVA,BA,9° 9' 27'' S,40° 56' 15'' W,405 m,VFR Diurno,12/30,1100 m,20 m,PCN 10/F/B/Y/U,Asfalto
SDGC,SP0055,GARÇA,GARÇA,SP,22° 11' 1'' S,49° 39' 22'' W,664 m,VFR Diurno,01/19,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SDGR,SP0074,GUARARAPES,GUARARAPES,SP,21° 15' 47'' S,50° 39' 11'' W,400 m,VFR Diurno,01/19,630 m,20 m,"5000 kg / 0,5 MPa",Terra
SDIG,SP0038,IBITINGA,IBITINGA,SP,21° 44' 50'' S,48° 51' 21'' W,542 m,VFR Diurno,13/31,1200 m,18 m,"5600 kg / 0,5 MPa",Asfalto
SDIM,SP0033,ITANHAÉM,ITANHAÉM,SP,24° 9' 53'' S,46° 47' 8'' W,4 m,VFR Diurno/Noturno,15/33,1350 m,30 m,PCN 31/F/C/X/T,Asfalto
SDIV,SP0056,ITUVERAVA,ITUVERAVA,SP,20° 22' 31'' S,47° 46' 7'' W,623 m,VFR Diurno,17/35,1350 m,23 m,"5200 kg / 0,5 MPa",Asfalto
SDJC,SP0064,JABOTICABAL,JABOTICABAL,SP,21° 13' 51'' S,48° 17' 8'' W,625 m,VFR Diurno,07/25,960 m,23 m,"5600 kg / 0,5 MPa",Terra
SDJO,SP0057,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,SP,20° 35' 36'' S,47° 50' 32'' W,651 m,VFR Diurno,14/32,1000 m,30 m,"5600 kg / 0,5 MPa",Terra
SDJV,SP0035,MUNICIPAL DE SÃO JOÃO DA BOA VISTA,SÃO JOÃO DA BOA VISTA,SP,22° 1' 0'' S,46° 50' 26'' W,762 m,VFR Diurno/Noturno,04/22,1250 m,30 m,PCN 20/F/B/Y/T,Asfalto
SDKF,BA0027,JUAZEIRO,CURAÇÁ,BA,9° 9' 19'' S,40° 5' 30'' W,392 m,VFR Diurno,18/36,1300 m,22 m,PCN 12/F/B/Y/U,Asfalto
SDKJ,BA0025,FORMOSA DO RIO PRETO,FORMOSA DO RIO PRETO,BA,11° 1' 16'' S,45° 11' 14'' W,511 m,VFR Diurno,13/31,1320 m,"18,5 m",PCN 10/F/B/Y/U,Asfalto
SDKK,SP0058,MOCOCA,MOCOCA,SP,21° 29' 14'' S,47° 2' 2'' W,651 m,VFR Diurno,04/22,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SDLC,SP0039,LUCÉLIA,LUCÉLIA,SP,21° 44' 58'' S,51° 1' 6'' W,450 m,VFR Diurno,08/26,1200 m,40 m,PCN 10/F/C/Y/U,Grama
SDLE,BA0038,RIO DE CONTAS,RIO DE CONTAS,BA,13° 34' 59'' S,41° 47' 27'' W,1146 m,VFR Diurno,15/33,1200 m,41 m,"5700 kg / 0,5 MPa",Piçarra
SDLK,BA0040,CACULÉ,CACULÉ,BA,14° 28' 52'' S,42° 15' 53'' W,662 m,VFR Diurno,13/31,1200 m,20 m,PCN 8/F/B/Y/U,Asfalto
SDLL,SP0048,YOLANDA PENTEADO,LEME,SP,22° 13' 37'' S,47° 22' 56'' W,617 m,VFR Diurno,08/26,1150 m,18 m,PCN 7/F/B/X/U,Asfalto
SDLP,SP0034,MUNICIPAL JOSÉ BOSO,LENÇÓIS PAULISTA,SP,22° 34' 42'' S,48° 46' 28'' W,621 m,VFR Diurno/Noturno,07/25,1264 m,20 m,PCN 13/F/C/Y/T,Asfalto
SDLY,SP0071,ARMANDO NATALI,MATÃO,SP,21° 37' 23'' S,48° 21' 9'' W,635 m,VFR Diurno,16/34,750 m,23 m,PCN 8/F/C/Y/U,Terra
SBMI,RJ0009,MARICÁ,MARICÁ,RJ,22° 55' 5'' S,42° 49' 44'' W,0 m,VFR Diurno,09/27,1190 m,30 m,PCN 13/F/A/X/T,Asfalto
SDMH,SP0059,MIRASSOL,MIRASSOL,SP,20° 48' 26'' S,49° 29' 10'' W,584 m,VFR Diurno,06/24,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SDMJ,SP0022,MOGI MIRIM,MOGI MIRIM,SP,22° 24' 36'' S,46° 54' 17'' W,693 m,VFR Diurno,12/30,1500 m,30 m,"5600 kg / 0,5 MPa",Terra
SDMO,SP0068,MONTE ALTO,MONTE ALTO,SP,21° 15' 41'' S,48° 31' 47'' W,750 m,VFR Diurno,17/35,850 m,20 m,"5600 kg / 0,5 MPa",Terra
SDNH,SP0060,NOVO HORIZONTE,NOVO HORIZONTE,SP,21° 29' 52'' S,49° 14' 4'' W,465 m,VFR Diurno,13/31,1000 m,20 m,"5700 kg / 0,5 MPa",Cascalho
SDNM,MT0047,BRIGADEIRO EDUARDO GOMES,NOVA MUTUM,MT,13° 49' 16'' S,56° 2' 19'' W,430 m,VFR Diurno,05/23,1541 m,24 m,PCN 18/F/B/Y/U,Asfalto
SDNO,SP0061,NELSON GARÓFALO,SÃO MANUEL,SP,22° 41' 46'' S,48° 34' 34'' W,730 m,VFR Diurno/Noturno,14/32,1000 m,20 m,PCN 13/F/C/Y/U,Asfalto
SDOU,SP0023,AEROPORTO MUNICIPAL DE OURINHOS JORNALISTA BENEDITO PIMENTEL,OURINHOS,SP,22° 58' 25'' S,49° 54' 41'' W,467 m,VFR Diurno/Noturno,16/34,1500 m,30 m,PCN 15/F/B/X/T,Asfalto
SDOV,GO0005,MOZARLÂNDIA,MOZARLÂNDIA,GO,14° 44' 41'' S,50° 34' 14'' W,328 m,VFR Diurno,17/35,1500 m,30 m,PCN 20/F/B/Y/T,Asfalto
SDOW,PA0021,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,6° 45' 44'' S,51° 3' 0'' W,229 m,VFR Diurno/Noturno,14/32,1200 m,30 m,PCN 11/F/B/Y/T,Asfalto
SDPD,SP0072,PINDAMONHANGABA,PINDAMONHANGABA,SP,22° 56' 37'' S,45° 25' 53'' W,585 m,VFR Diurno,06/24,750 m,30 m,PCN 8/F/C/Y/U,Grama
SDPN,SP0024,PENÁPOLIS,PENÁPOLIS,SP,21° 24' 37'' S,50° 1' 55'' W,418 m,VFR Diurno/Noturno,15/33,1500 m,30 m,PCN 27/F/A/X/T,Asfalto
SDPV,SP0040,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,SP,21° 53' 36'' S,51° 53' 4'' W,445 m,VFR Diurno,14/32,1200 m,30 m,"5700 kg / 0,5 MPa",Terra
SDPW,SP0041,PEDRO MORGANTI,PIRACICABA,SP,22° 42' 38'' S,47° 37' 10'' W,584 m,VFR Diurno/Noturno,17/35,1200 m,30 m,PCN 21/F/A/X/T,Asfalto
SDPY,SP0066,PIRASSUNUNGA,PIRASSUNUNGA,SP,22° 1' 40'' S,47° 25' 18'' W,683 m,VFR Diurno,03/21,860 m,30 m,PCN 8/F/C/Y/U,Terra
SDRK,SP0049,RIO CLARO,RIO CLARO,SP,22° 25' 54'' S,47° 33' 45'' W,600 m,VFR Diurno,03/21,1047 m,40 m,"5600 kg / 0,5 MPa",Terra
SDRR,SP0028,AVARÉ-ARANDU,AVARÉ,SP,23° 5' 35'' S,48° 59' 3'' W,810 m,VFR Diurno/Noturno,15/33,1480 m,30 m,PCN 26/F/A/X/T,Asfalto
SDRS,RJ0007,RESENDE,RESENDE,RJ,22° 28' 43'' S,44° 28' 54'' W,402 m,VFR Diurno,08/26,1300 m,30 m,PCN 13/F/C/Y/U,Asfalto
SDSC,SP0029,MÁRIO PEREIRA LOPES,SÃO CARLOS,SP,21° 52' 35'' S,47° 54' 12'' W,807 m,VFR Diurno/Noturno,02/20,1620 m,45 m,PCN 47/F/A/X/T,Asfalto
SBSO,MT0005,REGIONAL DE SORRISO ADOLINO BEDIN (SDSS*),SORRISO,MT,12° 28' 22'' S,55° 40' 8'' W,386 m,VFR Diurno/Noturno e IFR Diurno/Noturno,05/23,1700 m,30 m,PCN 26/F/A/Y/T,Asfalto
SDTB,SP0069,ATIBAIA,ATIBAIA,SP,23° 7' 42'' S,46° 34' 29'' W,797 m,VFR Diurno,02/20,800 m,30 m,"5000 kg / 0,5 MPa",Terra
SDTF,SP0050,TATUÍ,TATUÍ,SP,23° 19' 55'' S,47° 52' 48'' W,635 m,VFR Diurno,14/32,1300 m,30 m,PCN 28/F/B/X/T,Asfalto
SDTI,SP0073,TUPI PAULISTA,TUPI PAULISTA,SP,21° 23' 35'' S,51° 35' 56'' W,365 m,VFR Diurno,05/23,750 m,23 m,"5600 kg / 0,5 MPa",Grama
SDTK,RJ0011,PARATI,PARATI,RJ,23° 13' 28'' S,44° 43' 13'' W,3 m,VFR Diurno,10/28,700 m,23 m,"2500 kg / 0,5 MPa",Asfalto
SDTP,SP0025,JOSÉ VICENTE FARIA LIMA,TUPÃ,SP,21° 53' 24'' S,50° 30' 21'' W,550 m,VFR Diurno/Noturno,06/24,1500 m,35 m,PCN 33/F/B/X/T,Asfalto
SDUB,SP0065,ESTADUAL GASTÃO MADEIRA,UBATUBA,SP,23° 26' 29'' S,45° 4' 34'' W,4 m,VFR Diurno,09/27,940 m,30 m,PCN 8/F/C/Y/U,Asfalto
SDUN,RJ0008,ITAPERUNA,ITAPERUNA,RJ,21° 13' 10'' S,41° 52' 32'' W,125 m,VFR Diurno,06/24,1200 m,30 m,PCN 8/F/C/Y/U,Grama
SDUQ,SP0042,PARAGUAÇU PAULISTA,PARAGUAÇU PAULISTA,SP,22° 25' 37'' S,50° 36' 25'' W,476 m,VFR Diurno,05/23,1199 m,30 m,"5600 kg / 0,5 MPa",Terra
SDVE,SP0070,VERA CRUZ,VERA CRUZ,SP,22° 13' 41'' S,49° 49' 13'' W,640 m,VFR Diurno,14/32,770 m,20 m,"5600 kg / 0,5 MPa",Grama
SDVG,SP0026,DOMINGOS PIGNATARI,VOTUPORANGA,SP,20° 27' 26'' S,50° 0' 9'' W,508 m,VFR Diurno/Noturno,05/23,1500 m,30 m,PCN 26/F/B/X/T,Asfalto
SDWQ,PA0027,ALENQUER,ALENQUER,PA,1° 55' 1'' S,54° 43' 22'' W,"30,87 m",VFR Diurno,10/28,1000 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SDXF,GO0020,ALTO PARAÍSO DE GOIÁS,ALTO PARAÍSO DE GOIÁS,GO,14° 7' 9'' S,47° 31' 49'' W,1345 m,VFR Diurno,09/27,1080 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SDXJ,MS0017,COSTA RICA,COSTA RICA,MS,18° 29' 29'' S,53° 10' 6'' W,738 m,VFR Diurno,09/27,1160 m,23 m,PCN 10/F/B/Y/T,Asfalto
SDZG,CE0008,PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ,TAUÁ,CE,5° 56' 0'' S,40° 17' 51'' W,"450,98 m",VFR Diurno/Noturno,09/27,1200 m,30 m,PCN 7/F/C/Y/U,Asfalto
SIBU,PB0012,CATOLÉ DO ROCHA,CATOLÉ DO ROCHA,PB,6° 21' 45'' S,37° 45' 19'' W,272 m,VFR Diurno,11/29,800 m,18 m,PCN 10/F/B/Y/U,Asfalto
SIBW,PB0008,CONCEIÇÃO,CONCEIÇÃO,PB,7° 33' 45'' S,38° 29' 51'' W,370 m,VFR Diurno,08/26,1000 m,27 m,PCN 8/F/C/Y/U,Asfalto
SIBY,PB0009,MONTEIRO,MONTEIRO,PB,7° 52' 42'' S,37° 8' 12'' W,619 m,VFR Diurno,14/32,1000 m,28 m,PCN 8/F/C/Y/U,Asfalto
SIBZ,PB0010,ITAPORANGA,ITAPORANGA,PB,7° 18' 40'' S,38° 6' 49'' W,292 m,VFR Diurno,14/32,1000 m,24 m,PCN 8/F/B/Y/U,Asfalto
SICB,PB0007,PEDRO SIMÕES PIMENTA,CUITÉ,PB,6° 29' 15'' S,36° 8' 24'' W,652 m,VFR Diurno,10/28,1150 m,30 m,"5700 kg / 0,5 MPa",Terra
