CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SSOE,SC0015,HÉLIO WASUM,SÃO MIGUEL DO OESTE,SC,26° 46' 52'' S,53° 30' 12'' W,665 m,VFR Diurno,17/35,1260 m,18 m,PCN 11/F/A/Y/T,Asfalto
SSOG,PR0027,ARAPONGAS,ARAPONGAS,PR,23° 21' 21'' S,51° 29' 27'' W,792 m,VFR Diurno/Noturno,16/34,1200 m,23 m,PCN 6/F/B/Y/U,Asfalto
SSOI,SP0043,PEDERNEIRAS,PEDERNEIRAS,SP,22° 18' 23'' S,48° 46' 26'' W,536 m,VFR Diurno,15/33,1165 m,25 m,"5600 kg / 0,5 MPa",Terra
SSOL,MG0027,LAVRAS,LAVRAS,MG,21° 14' 38'' S,44° 58' 10'' W,959 m,VFR Diurno/Noturno,05/23,1500 m,30 m,PCN 12/F/C/Y/T,Asfalto
SSOS,RS0042,OSÓRIO,OSÓRIO,RS,29° 54' 8'' S,50° 15' 2'' W,12 m,VFR Diurno,10/28,1000 m,40 m,PCN 8/F/C/Y/U,Areia
SBPO,PR0018,JUVENAL LOUREIRO CARDOSO,PATO BRANCO,PR,26° 13' 2'' S,52° 41' 40'' W,823 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,1317 m,30 m,PCN 50/F/A/X/T,Asfalto
SSPG,PR0011,SANTOS DUMONT,PARANAGUÁ,PR,25° 32' 26'' S,48° 31' 52'' W,5 m,VFR Diurno,06/24,1455 m,30 m,PCN 16/F/C/Y/U,Asfalto
SSPI,PR0010,EDU CHAVES,PARANAVAÍ,PR,23° 5' 24'' S,52° 29' 19'' W,474 m,VFR Diurno,13/31,1500 m,30 m,PCN 13/F/C/Y/U,Asfalto
SSPL,RS0043,PALMEIRA DAS MISSÕES,PALMEIRA DAS MISSÕES,RS,27° 54' 6'' S,53° 19' 44'' W,635 m,VFR Diurno,05/23,1000 m,18 m,PCN 4/F/A/Y/U,Asfalto
SSPM,MS0013,PORTO MURTINHO,PORTO MURTINHO,MS,21° 42' 46'' S,57° 52' 45'' W,81 m,VFR Diurno,18/36,1300 m,30 m,PCN 15/F/B/X/T,Asfalto
SSPN,MS0010,PARANAÍBA,PARANAÍBA,MS,19° 39' 4'' S,51° 11' 58'' W,442 m,VFR Diurno,14/32,1320 m,23 m,PCN 12/F/A/Y/T,Asfalto
SSPS,PR0036,DIMORVAN CARRARO,PALMAS,PR,26° 28' 20'' S,51° 58' 32'' W,1100 m,VFR Diurno,03/21,1050 m,23 m,PCN 19/F/C/Y/U,Asfalto
SSPT,PR0028,BRASÍLIO MARQUES,PALOTINA,PR,24° 20' 36'' S,53° 49' 43'' W,373 m,VFR Diurno,03/21,1100 m,18 m,"5700 kg / 0,5 MPa",Asfalto
SSQC,PR0029,AGUINALDO PEREIRA LIMA,SIQUEIRA CAMPOS,PR,23° 40' 28'' S,49° 49' 8'' W,705 m,VFR Diurno,07/25,1200 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SSQP,BA0061,MONTE SANTO,MONTE SANTO,BA,10° 27' 55'' S,39° 17' 10'' W,443 m,VFR Diurno,17/35,1000 m,30 m,"5700 kg / 0,5 MPa",Piçarra
SSQT,PR0013,MAJOR NEODO S. PEREIRA,CASTRO,PR,24° 48' 27'' S,49° 57' 37'' W,1010 m,VFR Diurno,05/23,1420 m,30 m,"2500 kg / 0,5 MPa",Terra
SSQZ,BA0033,LUÍS EDUARDO MAGALHÃES,LUÍS EDUARDO MAGALHÃES,BA,12° 6' 23'' S,45° 53' 42'' W,775 m,VFR Diurno,10/28,1300 m,28 m,PCN 10/F/B/Y/U,Asfalto
SSRB,MS0021,RIO BRILHANTE,RIO BRILHANTE,MS,21° 50' 52'' S,54° 31' 40'' W,312 m,VFR Diurno,17/35,800 m,27 m,"5600 kg / 0,5 MPa",Terra
SSRE,PR0030,REALEZA,REALEZA,PR,25° 48' 4'' S,53° 30' 47'' W,501 m,VFR Diurno,06/24,1200 m,18 m,PCN 6/F/B/Y/T,Asfalto
SSRF,BA0034,CASTRO ALVES,CASTRO ALVES,BA,12° 45' 57'' S,39° 27' 4'' W,261 m,VFR Diurno,13/31,1300 m,21 m,PCN 8/F/C/Y/U,Cascalho
SSRG,SP0030,AEROPORTO ESTADUAL DE REGISTRO,REGISTRO,SP,24° 31' 54'' S,47° 50' 25'' W,25 m,VFR Diurno,10/28,1430 m,30 m,PCN 30/F/B/X/T,Asfalto
SSRK,BA0015,CAMPO ALEGRE DE LOURDES,CAMPO ALEGRE DE LOURDES,BA,9° 30' 49'' S,42° 59' 45'' W,489 m,VFR Diurno,11/29,1500 m,21 m,PCN 8/F/B/Y/U,Asfalto
SSRS,MA0008,BARREIRINHAS,BARREIRINHAS,MA,2° 45' 24'' S,42° 48' 16'' W,4 m,VFR Diurno,11/29,1500 m,30 m,PCN 71/F/A/Y/T,Asfalto
SSRU,RS0034,SÃO LOURENÇO DO SUL,SÃO LOURENÇO DO SUL,RS,31° 23' 0'' S,52° 1' 58'' W,8 m,VFR Diurno,03/21,1100 m,18 m,"5700 kg / 0,5 MPa",Terra
SSRZ,RS0024,DÁRIO BRASIL CAPOANO DE OLIVEIRA,ROSÁRIO DO SUL,RS,30° 16' 39'' S,54° 55' 31'' W,106 m,VFR Diurno,10/28,1200 m,40 m,PCN 8/F/C/Y/U,Cascalho
SSSB,RS0014,SÃO BORJA,SÃO BORJA,RS,28° 39' 11'' S,56° 1' 58'' W,75 m,VFR Diurno,06/24,1500 m,30 m,PCN 17/F/C/Y/U,Asfalto
SSSC,RS0029,SANTA CRUZ DO SUL,SANTA CRUZ DO SUL,RS,29° 41' 3'' S,52° 24' 44'' W,199 m,VFR Diurno,08/26,1180 m,18 m,PCN 8/F/C/Y/U,Asfalto
SSSD,RS0017,SOLEDADE,SOLEDADE,RS,28° 51' 48'' S,52° 32' 26'' W,673 m,VFR Diurno,17/35,1199 m,23 m,5700 kg / 1 MPa,Saibro
SSSG,RS0035,SÃO GABRIEL,SÃO GABRIEL,RS,30° 20' 42'' S,54° 16' 4'' W,144 m,VFR Diurno,05/23,1100 m,100 m,PCN 8/F/C/Y/U,Terra
SSSS,SC0022,SÃO FRANCISCO DO SUL,SÃO FRANCISCO DO SUL,SC,26° 13' 16'' S,48° 33' 52'' W,15 m,VFR Diurno,18/36,700 m,35 m,"2500 kg / 0,5 MPa",Grama
SSST,RS0015,SANTIAGO,SANTIAGO,RS,29° 12' 54'' S,54° 50' 32'' W,445 m,VFR Diurno,17/35,1340 m,60 m,PCN 8/F/C/Y/U,Terra
SSSZ,PR0033,SERTANÓPOLIS,SERTANÓPOLIS,PR,23° 3' 43'' S,51° 0' 50'' W,361 m,VFR Diurno,10/28,1000 m,30 m,"5700 kg / 0,5 MPa",Grama
SSTB,SC0013,TRÊS BARRAS,TRÊS BARRAS,SC,26° 7' 58'' S,50° 18' 35'' W,780 m,VFR Diurno,03/21,1370 m,18 m,"5000 kg / 0,5 MPa",Asfalto
SSUM,PR0019,ORLANDO DE CARVALHO,UMUARAMA,PR,23° 47' 57'' S,53° 18' 50'' W,475 m,VFR Diurno/Noturno,04/22,1400 m,30 m,PCN 14/F/C/Y/U,Asfalto
SSUV,PR0034,JOSÉ CLETO,UNIÃO DA VITÓRIA,PR,26° 13' 54'' S,51° 4' 8'' W,752 m,VFR Diurno,16/34,1000 m,30 m,PCN 14/F/C/Y/U,Asfalto
SBVC,BA0005,GLAUBER DE ANDRADE ROCHA,VITÓRIA DA CONQUISTA,BA,14° 54' 28'' S,40° 54' 53'' W,896 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2100 m,45 m,PCN 44/F/B/X/T,Asfalto
SSVI,SC0011,ÂNGELO PONZONI,VIDEIRA,SC,26° 59' 59'' S,51° 8' 29'' W,840 m,VFR Diurno,10/28,1400 m,23 m,PCN 11/F/A/Y/T,Asfalto
SSVL,PR0007,TELÊMACO BORBA (SBTL*),TELÊMACO BORBA,PR,24° 18' 59'' S,50° 39' 8'' W,796 m,VFR Diurno,02/20,1800 m,30 m,PCN 24/F/B/X/T,Asfalto
SSVN,RS0030,VERANÓPOLIS,VERANÓPOLIS,RS,28° 56' 8'' S,51° 34' 4'' W,676 m,VFR Diurno,12/30,1000 m,18 m,"3700 kg / 0,5 MPa",Saibro
SBJE,CE0003,COMANDANTE ARISTON PESSOA,CRUZ,CE,2° 54' 24'' S,40° 21' 29'' W,27 m,VFR Diurno/Noturno e IFR Diurno/Noturno,08/26,2200 m,45 m,PCN 62/F/B/W/T,Asfalto
SSWS,RS0025,CAÇAPAVA DO SUL,CAÇAPAVA DO SUL,RS,30° 32' 58'' S,53° 27' 33'' W,400 m,VFR Diurno,08/26,1200 m,60 m,PCN 8/F/C/Y/U,Terra
SSXD,RS0026,SARANDI,SARANDI,RS,27° 58' 52'' S,52° 51' 49'' W,620 m,VFR Diurno,14/32,1200 m,60 m,PCN 8/F/C/Y/U,Terra
SSXX,SC0017,MUNICIPAL JOÃO WINCKLER,XANXERÊ,SC,26° 52' 32'' S,52° 22' 23'' W,910 m,VFR Diurno/Noturno,18/36,1149 m,18 m,PCN 8/F/A/Y/T,Asfalto
SSYA,PR0020,AVELINO VIEIRA,ARAPOTI,PR,24° 6' 15'' S,49° 47' 26'' W,805 m,VFR Diurno,05/23,1400 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SSZR,RS0027,LUIS ALBERTO LEHR,SANTA ROSA,RS,27° 54' 32'' S,54° 31' 20'' W,300 m,VFR Diurno/Noturno,07/25,1200 m,30 m,PCN 8/F/A/Y/T,Asfalto
SBPG,PR0012,COMANDANTE ANTÔNIO AMILTON BERALDO,PONTA GROSSA,PR,25° 11' 4'' S,50° 8' 38'' W,789 m,VFR Diurno/Noturno,08/26,1430 m,30 m,PCN 33/F/C/X/U,Asfalto
SWBA,GO0022,BURITI ALEGRE,BURITI ALEGRE,GO,18° 7' 32'' S,49° 2' 34'' W,868 m,VFR Diurno,16/34,1200 m,30 m,PCN 8/F/C/Y/U,Terra
SWBC,AM0017,BARCELOS,BARCELOS,AM,0° 58' 51'' S,62° 55' 8'' W,34 m,VFR Diurno,09/27,1200 m,30 m,PCN 6/F/B/Y/U,Asfalto
SWBE,CE0006,WALFRIDO SAMITO DE ALMEIDA,SÃO BENEDITO,CE,4° 3' 0'' S,40° 53' 0'' W,884 m,VFR Diurno/Noturno,10/28,1500 m,30 m,PCN 12/F/B/Y/T,Asfalto
SWBG,MT0009,ANDRÉ ANTÔNIO MAGGI,PONTES E LACERDA,MT,15° 11' 36'' S,59° 23' 7'' W,247 m,VFR Diurno,01/19,1500 m,30 m,PCN 8/F/B/Y/T,Asfalto
SWBR,AM0018,BORBA,BORBA,AM,4° 24' 31'' S,59° 35' 52'' W,90 m,VFR Diurno,12/30,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto
SWCA,AM0007,CARAUARI,CARAUARI,AM,4° 52' 17'' S,66° 53' 51'' W,108 m,VFR Diurno,04/22,1665 m,18 m,PCN 12/F/C/Y/T,Asfalto
SWCB,GO0023,CAMPOS BELOS,CAMPOS BELOS,GO,13° 0' 32'' S,46° 46' 29'' W,670 m,VFR Diurno,11/29,1200 m,20 m,"2500 kg / 0,5 MPa",Terra
SWCQ,RO0007,COSTA MARQUES,COSTA MARQUES,RO,12° 25' 18'' S,64° 15' 6'' W,169 m,VFR Diurno,01/19,1495 m,20 m,PCN 8/F/B/Y/T,Asfalto
SWCZ,GO0024,CERES,CERES,GO,15° 20' 41'' S,49° 36' 17'' W,598 m,VFR Diurno,15/33,1200 m,23 m,"2500 kg / 0,5 MPa",Asfalto
SWDM,MT0015,DIAMANTINO,DIAMANTINO,MT,14° 22' 37'' S,56° 24' 2'' W,450 m,VFR Diurno,15/33,1480 m,18 m,PCN 13/F/C/Y/U,Asfalto
SWDN,TO0006,DIANÓPOLIS,DIANÓPOLIS,TO,11° 35' 43'' S,46° 50' 52'' W,730 m,VFR Diurno,10/28,1500 m,30 m,PCN 12/F/B/X/T,Asfalto
SWEI,AM0009,EIRUNEPÉ,EIRUNEPÉ,AM,6° 38' 15'' S,69° 52' 59'' W,122 m,VFR Diurno,16/34,2300 m,45 m,PCN 30/F/C/X/U,Asfalto
SWEK,MT0024,CANARANA,CANARANA,MT,13° 34' 28'' S,52° 16' 14'' W,400 m,VFR Diurno,18/36,1040 m,27 m,"5700 kg / 0,5 MPa",Terra
SWFN,AM0002,FLORES,MANAUS,AM,3° 4' 22'' S,60° 1' 16'' W,62 m,VFR Diurno,11/29,830 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWFR,GO0014,FORMOSA,FORMOSA,GO,15° 33' 22'' S,47° 20' 43'' W,965 m,VFR Diurno,05/23,1400 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWFX,MT0022,SÃO FÉLIX DO ARAGUAIA,SÃO FÉLIX DO ARAGUAIA,MT,11° 37' 55'' S,50° 41' 18'' W,198 m,VFR Diurno,12/30,1100 m,25 m,PCN 10/F/C/Y/U,Terra
SWGI,TO0004,GURUPI,GURUPI,TO,11° 44' 22'' S,49° 8' 0'' W,360 m,VFR Diurno/Noturno,12/30,1700 m,30 m,PCN 10/F/B/X/T,Asfalto
SWGN,TO0002,ARAGUAÍNA,ARAGUAÍNA,TO,7° 13' 42'' S,48° 14' 27'' W,235 m,VFR Diurno/Noturno,09/27,1804 m,45 m,PCN 44/F/C/X/U,Asfalto
SWHG,GO0032,SANTA HELENA DE GOIÁS,SANTA HELENA DE GOIÁS,GO,17° 53' 2'' S,50° 34' 2'' W,485 m,VFR Diurno,14/32,1000 m,20 m,"5700 kg / 0,5 MPa",Asfalto
SWHP,MT0006,OLHOS D'ÁGUA,ÁGUA BOA,MT,14° 1' 10'' S,52° 9' 8'' W,459 m,VFR Diurno/Noturno,03/21,1627 m,18 m,"5700 kg / 0,5 MPa",Asfalto
SWHT,AM0019,FRANCISCO CORREA DA CRUZ,HUMAITÁ,AM,7° 32' 1'' S,63° 3' 2'' W,70 m,VFR Diurno,14/32,1200 m,45 m,PCN 7/F/B/Y/U,Terra
SWII,AM0013,IPIRANGA,SANTO ANTÔNIO DO IÇÁ,AM,2° 56' 1'' S,69° 41' 41'' W,40 m,VFR Diurno,01/19,1500 m,30 m,PCN 13/R/C/W/U,Concreto
SWIQ,GO0019,MINAÇU,MINAÇU,GO,13° 33' 2'' S,48° 12' 2'' W,427 m,VFR Diurno/Noturno e IFR Diurno,05/23,1275 m,30 m,PCN 7/F/C/Y/U,Asfalto
SWJN,MT0007,JUÍNA,JUÍNA,MT,11° 25' 10'' S,58° 42' 6'' W,330 m,VFR Diurno,17/35,1600 m,30 m,"5600 kg / 0,5 MPa",Asfalto
SWJW,GO0008,JATAÍ,JATAÍ,GO,17° 49' 48'' S,51° 46' 31'' W,771 m,VFR Diurno/Noturno,13/31,1500 m,23 m,PCN 10/F/B/X/U,Asfalto
SWKC,MT0017,CÁCERES,CÁCERES,MT,16° 2' 34'' S,57° 37' 47'' W,150 m,VFR Diurno/Noturno,18/36,1285 m,17 m,PCN 9/F/C/Y/U,Asfalto
SWKO,AM0010,COARI,COARI,AM,4° 8' 2'' S,63° 7' 52'' W,40 m,VFR Diurno,10/28,1600 m,36 m,PCN 29/F/C/X/U,Asfalto
SWKQ,PI0004,SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO,SÃO RAIMUNDO NONATO,PI,9° 4' 58'' S,42° 38' 40'' W,415 m,VFR Diurno/Noturno,16/34,1650 m,45 m,PCN 34/F/B/X/T,Asfalto
SWKT,GO0015,CATALÃO,CATALÃO,GO,18° 13' 1'' S,47° 54' 5'' W,796 m,VFR Diurno/Noturno,17/35,1400 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWLB,AM0024,LÁBREA,LÁBREA,AM,7° 15' 1'' S,64° 47' 2'' W,58 m,VFR Diurno,18/36,1000 m,40 m,PCN 7/F/C/Y/U,Asfalto
SWLC,GO0009,GENERAL LEITE DE CASTRO,RIO VERDE,GO,17° 50' 5'' S,50° 57' 22'' W,751 m,VFR Diurno/Noturno,03/21,1500 m,30 m,PCN 19/F/C/Y/U,Asfalto
SWME,GO0033,MINEIROS,MINEIROS,GO,17° 33' 7'' S,52° 33' 22'' W,825 m,VFR Diurno,18/36,1000 m,18 m,PCN 8/F/C/Y/U,Asfalto
SWMW,AM0020,MAUÉS,MAUÉS,AM,3° 21' 25'' S,57° 42' 44'' W,21 m,VFR Diurno,01/19,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto
SWNH,GO0017,ARUANÃ,ARUANÃ,GO,14° 55' 59'' S,51° 2' 54'' W,250 m,VFR Diurno/Noturno,06/24,1300 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SWNK,AM0011,NOVO CAMPO,BOCA DO ACRE,AM,8° 50' 1'' S,67° 18' 44'' W,120 m,VFR Diurno,18/36,1600 m,33 m,PCN 19/F/C/Y/U,Asfalto
SWNQ,GO0016,NIQUELÂNDIA,NIQUELÂNDIA,GO,14° 26' 11'' S,48° 29' 31'' W,840 m,VFR Diurno,02/20,1400 m,50 m,PCN 8/F/B/X/U,Terra
SWNR,MT0019,NORTELÂNDIA,NORTELÂNDIA,MT,14° 29' 1'' S,56° 46' 2'' W,445 m,VFR Diurno,15/33,1200 m,20 m,PCN 8/F/C/Y/U,Terra
SWNS,GO0004,ANÁPOLIS,ANÁPOLIS,GO,16° 21' 45'' S,48° 55' 41'' W,1112 m,VFR Diurno/Noturno,07/25,1218 m,45 m,PCN 30/F/C/X/U,Asfalto
SBNV,GO0002,AERÓDROMO NACIONAL DE AVIAÇÃO,GOIÂNIA,GO,16° 37' 32'' S,49° 20' 58'' W,831 m,VFR Diurno,14/32,1100 m,20 m,"5700 kg / 0,5 MPa",Asfalto
SWOB,AM0014,FONTE BOA,FONTE BOA,AM,2° 32' 1'' S,66° 4' 2'' W,63 m,VFR Diurno,18/36,1270 m,27 m,PCN 6/F/C/Y/U,Asfalto
SWPG,MT0010,PORTO DOS GAÚCHOS,PORTO DOS GAÚCHOS,MT,11° 31' 1'' S,57° 20' 2'' W,400 m,VFR Diurno,01/19,1500 m,60 m,PCN 13/F/C/Y/U,Terra
SWPI,AM0006,PARINTINS,PARINTINS,AM,2° 40' 10'' S,56° 46' 16'' W,26 m,VFR Diurno/Noturno,06/24,1800 m,30 m,PCN 33/F/B/X/T,Asfalto
SWPK,MT0021,POCONÉ,POCONÉ,MT,16° 16' 18'' S,56° 39' 4'' W,187 m,VFR Diurno,01/19,1150 m,23 m,"5700 kg / 0,5 MPa",Cascalho
SWPL,MT0027,POSTO LEONARDO VILAS BOAS,GAÚCHA DO NORTE,MT,12° 11' 54'' S,53° 22' 54'' W,330 m,VFR Diurno,07/25,1000 m,20 m,PCN 8/F/C/Y/U,Grama
SWPM,RO0009,PIMENTA BUENO,PIMENTA BUENO,RO,11° 38' 30'' S,61° 10' 52'' W,208 m,VFR Diurno/Noturno,04/22,1300 m,20 m,PCN 12/F/C/Y/U,Asfalto
SWPR,GO0029,PIRES DO RIO,PIRES DO RIO,GO,17° 19' 9'' S,48° 20' 5'' W,781 m,VFR Diurno,10/28,1080 m,18 m,PCN 8/F/C/Y/U,Asfalto
SWPY,MT0023,PRIMAVERA DO LESTE,PRIMAVERA DO LESTE,MT,15° 33' 56'' S,54° 20' 16'' W,655 m,VFR Diurno,01/19,1100 m,23 m,"5000 kg / 0,5 MPa",Terra
SWPZ,GO0010,ORIÇANGA DE ABREU,POSSE,GO,14° 7' 26'' S,46° 20' 31'' W,827 m,VFR Diurno,10/28,1500 m,25 m,PCN 18/F/B/Y/T,Asfalto
SWRO,RO0002,AEROCLUBE DE RONDÔNIA,PORTO VELHO,RO,8° 47' 37'' S,63° 51' 29'' W,113 m,VFR Diurno,01/19,1300 m,30 m,PCN 8/F/C/Y/U,Terra
SBSI,MT0002,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,MT,11° 53' 6'' S,55° 35' 10'' W,374 m,VFR Diurno/Noturno,03/21,1630 m,30 m,PCN 36/F/A/X/T,Asfalto
SWTO,TO0008,PARAÍSO DO TOCANTINS,PARAÍSO DO TOCANTINS,TO,10° 10' 26'' S,48° 55' 58'' W,330 m,VFR Diurno,10/28,1200 m,30 m,PCN 20/F/C/X/U,Asfalto
SWTP,AM0022,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,AM,0° 25' 1'' S,65° 2' 2'' W,68 m,VFR Diurno,09/27,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto
SWTS,MT0012,TANGARÁ DA SERRA,TANGARÁ DA SERRA,MT,14° 39' 43'' S,57° 26' 38'' W,449 m,VFR Diurno,18/36,1500 m,30 m,PCN 12/F/B/X/T,Asfalto
SWTY,TO0009,TAGUATINGA,TAGUATINGA,TO,12° 26' 2'' S,46° 24' 2'' W,597 m,VFR Diurno,05/23,1200 m,40 m,PCN 8/F/C/Y/U,Terra
SWUA,GO0011,SÃO MIGUEL DO ARAGUAIA,SÃO MIGUEL DO ARAGUAIA,GO,13° 20' 2'' S,50° 12' 21'' W,384 m,VFR Diurno,08/26,1500 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWUD,MG0069,DEPUTADO OSWALDO TOLENTINO,CLÁUDIO,MG,20° 26' 45'' S,44° 48' 47'' W,820 m,VFR Diurno,12/30,1000 m,30 m,PCN 15/F/B/Y/T,Asfalto
SWUZ,GO0025,BRIGADEIRO ARARIPE MACEDO,LUZIÂNIA,GO,16° 15' 42'' S,47° 58' 7'' W,996 m,VFR Diurno,11/29,1200 m,20 m,PCN 8/F/C/Y/U,Asfalto
SWVB,MT0020,VILA BELA DA SANTÍSSIMA TRINDADE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,15° 0' 55'' S,59° 58' 2'' W,270 m,VFR Diurno,01/19,1200 m,20 m,PCN 8/F/C/Y/U,Terra
SWVC,MT0016,VILA RICA,VILA RICA,MT,9° 58' 52'' S,51° 8' 26'' W,272 m,VFR Diurno,07/25,1350 m,40 m,"4000 kg / 0,5 MPa",Terra
SWWA,GO0012,PORANGATU,PORANGATU,GO,13° 24' 16'' S,49° 9' 26'' W,366 m,VFR Diurno/Noturno,14/32,1500 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SWWU,GO0013,URUAÇU,URUAÇU,GO,14° 32' 41'' S,49° 5' 28'' W,520 m,VFR Diurno,18/36,1440 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SWXM,MT0014,REGIONAL ORLANDO VILLAS BOAS,MATUPÁ,MT,10° 10' 13'' S,54° 57' 10'' W,283 m,VFR Diurno,02/20,1482 m,18 m,"5700 kg / 0,5 MPa",Cascalho
SWXQ,SP0015,LINS,LINS,SP,21° 39' 46'' S,49° 43' 52'' W,480 m,VFR Diurno/Noturno,14/32,1700 m,35 m,PCN 30/F/B/X/T,Asfalto
SWXV,MT0013,XAVANTINA,NOVA XAVANTINA,MT,14° 41' 27'' S,52° 20' 57'' W,316 m,VFR Diurno,03/21,1490 m,45 m,PCN 10/F/C/Y/U,Terra
SWYN,AM0023,APUÍ,APUÍ,AM,7° 10' 20'' S,59° 50' 20'' W,60 m,VFR Diurno,08/26,1200 m,23 m,PCN 12/F/B/Y/U,Asfalto
SBJH,SP1176,SÃO PAULO CATARINA AEROPORTO EXECUTIVO,SÃO ROQUE,SP,23° 25' 37'' S,47° 9' 57'' W,777 m,VFR Diurno/Noturno,12/30,2470 m,33 m,PCN 30/F/B/X/T,Asfalto
SJXI,MG0311,SANTA RITA DO SAPUCAÍ,SANTA RITA DO SAPUCAÍ,MG,22° 16' 22'' S,45° 38' 24'' W,882 m,VFR Diurno,16/34,1000 m,30 m,"5700 kg / 0,5 MPa",Terra
SNCP,SC0181,REGIONAL DO PLANALTO SERRANO,CORREIA PINTO,SC,27° 38' 3'' S,50° 21' 30'' W,880 m,VFR Diurno e IFR Diurno/Noturno,09/27,1802 m,30 m,PCN 57/F/B/X/T,Asfalto